State/UT,Underweight Percentage,Immunization Coverage,Child Mortality Rate
State3,16.911207789552932,93.85725060534793,4.122600660449891
State1,15.658729554651027,94.05327855112841,6.547351206234751
State2,17.104737282342832,78.98196792365553,4.16857760397647
State3,15.071812524170507,72.40447070529008,2.648129990411727
State5,7.2005083505454275,90.4609914455649,4.314591052949339
State4,13.870727994065238,84.70031585854555,5.801043943541087
State3,8.255660914772998,78.06432655796111,5.3189141711726835
State1,8.054270619790394,76.51965814992221,3.8564775943038017
State2,18.506075321031155,82.50223409070674,4.469678470121362
State4,6.830391699675175,70.41447907664849,7.932971053259638
State1,13.949383906220698,89.75225826912461,6.611422444745205
State5,6.449244229991331,94.18591225753786,7.038980234326718
State5,12.446878808108918,86.81860552769362,7.12451576689453
State2,11.232451599620633,72.54551796497299,5.755750984980341
State1,15.014898831788056,76.1149320903,4.451159960977819
State2,5.842544738725856,71.4352816072244,2.452692096485685
State3,14.795049581690359,72.25189851447635,2.9951216451813565
State3,8.09394245242296,76.5508125938429,3.2990568127268984
State5,16.453848407326078,83.48862432787662,2.015097548240748
State4,17.89659258464942,70.15270121080604,3.4532036918241644
State5,6.475374582206377,92.29466654801284,3.7081581984941954
State3,16.699686419739706,86.883597301636,6.439227911049759
State4,17.545555867041593,76.14493840313507,5.794465994161959
State4,5.635264510129574,85.39939935640699,6.7523590049150775
State2,16.857036956828132,70.64076912616301,6.892590822464726
State5,7.070945404218527,87.84519100958262,5.636367669082171
State1,7.079794152641637,80.01824756062031,6.555183110127332
State4,14.02701931417673,72.51599262121614,4.676140159073726
State4,9.85882985439383,79.62491694898418,4.421406326173145
State3,15.799588911452062,72.1941858243458,6.673645741377255
State1,14.227821471633112,78.78840493085622,6.929286959653644
State3,11.658100755159762,94.22615709506931,6.713280731705975
State3,5.618626237989897,80.7438524848165,2.9854969916120773
State3,16.2921693015779,92.8352958543871,3.308122615280032
State5,13.295830112590995,79.58388999296844,7.593589599768274
State4,5.116380916480098,90.60320616504903,5.5206901533203006
State4,11.51519234484572,91.04422786478281,5.927542799688697
State2,11.596433771894567,82.55667973274231,2.986131955635508
State5,16.427317798707865,81.1674875272699,2.9077485914253787
State2,11.972521278155433,79.3222831092022,2.6818192657801525
State3,18.180611478254026,83.8564086474706,3.0538349538340466
State3,10.396914854142347,85.83775928023681,3.3254787402195
State4,11.29193288900749,75.77675714285738,4.286012028879037
State2,5.335648801422119,80.73341240639604,2.1435705192316155
State2,16.622984505606766,76.87915477506776,4.577453380195792
State5,19.175203153471895,82.10534587246727,3.804065816066897
State4,17.85170447397384,79.63299713408868,7.395821281330965
State5,19.26319188008715,90.68416277781468,2.8255540950521842
State5,8.070317398862729,72.33390214671626,3.5302719720750058
State2,14.644638388167511,88.99011911955436,5.7642250364617365
